ID,Tipo,SKU,Nombre,Publicado(0/1),¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario ,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla,Nombre del atributo 2,Valor(es) del atributo talla,Atributo visible talla,Atributo global talla,Atributo por defecto talla
12005LA,variation,,CROP RIB CON FAJÓN AZUL - L,1,,visible,,,taxable,parent,1,3,,,,,30000,55000,TOPS Y CAMISETAS,,,12005C/ 12005F/ 12005F2,,Talla,L,,,,color,AZUL,,,
11015,variable,,CROP CUELLO BANDEJA- MANGA LARGA,1,,visible,,"Crop cuello mandeja, manga larga en Lycra (100% poliester) y estampación en alta densidad en frente.",taxable,parent,1,,,,,,,,TOPS Y CAMISETAS,,,11015F/ 11015F2/ 11015C/ 11015FP,,Talla,"S,M,L",1,,M,color,LILA,1,,
11015S,variation,,CROP CUELLO BANDEJA- MANGA LARGA - S,1,,visible,,,taxable,parent,1,2,,,,,25000,50000,TOPS Y CAMISETAS,,,11015F/ 11015F2/ 11015C/ 11015FP,,Talla,S,,,,color,LILA,,,
11015M,variation,,CROP CUELLO BANDEJA- MANGA LARGA - M,1,,visible,,,taxable,parent,1,2,,,,,25000,50000,TOPS Y CAMISETAS,,,11015F/ 11015F2/ 11015C/ 11015FP,,Talla,M,,,,color,LILA,,,
11015L,variation,,CROP CUELLO BANDEJA- MANGA LARGA - L,1,,visible,,,taxable,parent,1,1,,,,,25000,50000,TOPS Y CAMISETAS,,,11015F/ 11015F2/ 11015C/ 11015FP,,Talla,L,,,,color,LILA,,,
14009,variable,,VESTIDO BURDA RECOGIDO A LOS COSTADOS,1,,visible,,"Vestido en burda con recogido graduable en costados,  estampación textil en sentido vertical en todo el frente",taxable,parent,1,,,,,,,,VESTIDOS,,,14009F/ 14009F2/ 14009F3,,Talla,"S,M,L",1,,M,color,GRIS,1,,
14009S,variation,,VESTIDO BURDA RECOGIDO A LOS COSTADOS - S,1,,visible,,,taxable,parent,0,0,,,,,35000,70000,VESTIDOS,,,14009F/ 14009F2/ 14009F3,,Talla,S,,,,color,GRIS,,,
14009M,variation,,VESTIDO BURDA RECOGIDO A LOS COSTADOS - M ,1,,visible,,,taxable,parent,0,0,,,,,35000,70000,VESTIDOS,,,14009F/ 14009F2/ 14009F3,,Talla,M,,,,color,GRIS,,,
14009L,variation,,VESTIDO BURDA RECOGIDO A LOS COSTADOS - L,1,,visible,,,taxable,parent,1,2,,,,,35000,70000,VESTIDOS,,,14009F/ 14009F2/ 14009F3,,Talla,L,,,,color,GRIS,,,
18002,variable,,PANTALÓN CARGO MILITAR,1,,visible,,"Pantalòn cargo en drill strech, bolsillos con correa en reata y bolsillos en costado, con correas ajustables en botas.",taxable,parent,1,,,,,,,,SHORT Y PANTALON,,,18002C/ 18002FP/ 18002P,,Talla,"S,M,L",1,,M,color,VERDE MILITAR,1,,
